AC1	AC9	AC16	CL7	CL11	IJ2	IJ3	IJ4	IJ6	IJ12	Total	target
0	0	0	0	0	0	0	0	0	0	22	0
0	0	0	0	0	0	0	0	0	1	1	0
0	0	0	0	0	0	0	0	1	0	4	0
0	0	0	0	0	0	0	1	0	0	2	0
0	0	0	0	0	0	1	0	0	0	3	0
0	0	0	0	0	1	0	0	0	0	10	0
0	0	0	0	0	1	0	0	1	0	2	0
0	0	0	0	0	1	1	0	0	0	4	0
0	0	0	0	0	1	1	0	0	1	1	1
0	0	0	0	0	1	1	0	1	0	4	1
0	0	0	0	1	0	0	0	0	1	1	1
0	0	0	0	1	1	1	0	1	0	1	0
0	0	0	1	0	0	0	0	0	0	8	0
0	0	0	1	0	0	0	1	1	0	1	0
0	0	0	1	0	1	0	0	0	0	3	0
0	0	0	1	0	1	0	0	1	0	1	0
0	0	0	1	0	1	1	1	0	0	1	1
0	0	0	1	1	0	0	0	0	0	1	0
0	0	0	1	1	1	0	0	0	0	1	1
0	0	0	1	1	1	1	1	1	0	1	1
0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	0	0	1	0	0	1	0	1	1
0	0	1	0	1	1	0	0	0	0	1	1
0	1	0	0	1	0	1	0	0	0	1	0
1	0	0	0	0	0	0	0	0	0	10	0
1	0	0	0	0	0	0	0	1	0	2	0
1	0	0	0	0	0	0	0	1	1	1	0
1	0	0	0	0	1	0	0	0	0	8	0
1	0	0	0	0	1	0	0	1	0	7	1
1	0	0	0	1	0	0	0	0	0	1	0
1	0	0	0	1	1	0	0	0	0	6	1
1	0	0	0	1	1	0	0	0	1	1	0
1	0	0	0	1	1	0	0	1	0	3	0
1	0	0	1	0	0	0	0	0	0	3	0
1	0	0	1	0	0	0	0	1	0	1	0
1	0	0	1	0	0	0	1	0	0	1	0
1	0	0	1	0	1	0	0	1	0	2	0
1	0	0	1	1	0	0	0	1	0	1	0
1	0	0	1	1	1	0	0	0	0	1	1
1	0	0	1	1	1	0	0	0	1	1	1
1	1	0	0	0	0	0	0	0	0	1	0
1	1	0	0	0	1	0	0	1	0	1	1
