Firm	EBIT/TA	NI/TC	Sales/TA	EBIT/Sales	NI/Sales	WC/TA	Equity/TL	Equity/TA	target
7	-0.337	0.779	2.948	-0.114	-0.135	-1.042	-0.4	-0.667	1
32	-0.01	-0.008	1.8530000000000002	-0.005	-0.003	0.29	1.881	0.653	1
47	-0.002	-0.302	2.176	-0.001	-0.01	-0.5429999999999999	0.006999999999999999	0.006	1
4	0.047	0.006999999999999999	1.176	0.04	0.001	-0.05	0.125	0.111	1
6	0.083	0.061	0.8029999999999999	0.10400000000000001	0.034	0.017	0.375	0.273	1
33	-0.079	-0.192	1.263	-0.062	-0.07200000000000001	-0.006999999999999999	0.07	0.065	1
46	0.11800000000000001	0.069	0.7090000000000001	0.16699999999999998	0.057	0.064	0.3670000000000001	0.26899999999999996	1
22	0.004	-0.040999999999999995	1.273	0.003	-0.012	0.106	0.316	0.24	1
23	0.046	0.049	1.121	0.040999999999999995	0.023	0.21	0.597	0.374	1
14	0.062	0.045	1.371	0.046	0.013000000000000001	0.049	0.162	0.139	1
21	0.038	0.002	0.8320000000000001	0.045	0.001	0.034	0.11	0.099	1
16	0.091	0.078	1.1059999999999999	0.08199999999999999	0.034	0.212	0.8190000000000001	0.45	1
43	0.044000000000000004	0.076	1.021	0.043	0.023	0.133	0.273	0.215	1
17	0.106	0.05	1.105	0.096	0.023	0.309	0.599	0.374	1
13	0.191	0.159	0.948	0.20199999999999999	0.099	0.099	0.631	0.387	1
45	0.038	-0.027000000000000003	0.8959999999999999	0.042	-0.013000000000000001	0.19699999999999998	0.355	0.262	1
3	0.096	0.08900000000000001	1.505	0.064	0.027000000000000003	0.35	0.708	0.414	1
26	0.10800000000000001	0.075	1.143	0.094	0.040999999999999995	0.401	1.3869999999999998	0.581	1
24	0.079	0.027999999999999997	0.706	0.11199999999999999	0.019	0.168	0.212	0.175	1
48	0.065	0.07	0.903	0.07200000000000001	0.02	-0.026000000000000002	0.21600000000000005	0.17800000000000002	1
39	0.096	0.095	2.2159999999999997	0.043	0.013999999999999999	0.135	0.379	0.275	1
19	0.083	0.071	0.861	0.09699999999999999	0.047	0.239	0.738	0.425	1
11	0.067	0.079	1.449	0.046	0.015	-0.08	0.18600000000000005	0.157	1
30	0.052000000000000005	0.11599999999999999	1.922	0.027000000000000003	0.019	0.11199999999999999	0.39299999999999996	0.282	1
37	0.085	0.087	1.317	0.064	0.035	0.19699999999999998	0.516	0.34	1
28	0.019	0.039	2.177	0.009000000000000001	0.003	0.064	0.201	0.617	1
9	0.034	0.03	1.676	0.02	0.012	0.08900000000000001	0.6679999999999999	0.4	1
5	-0.0701	0.1246	3.7913	-0.0185	-0.0185	-1.0029	-0.4496	0.076	0
20	-0.71	0.9775	3.8498	-0.1844	-0.1844	-1.1348	-0.4641	-0.413	0
29	-0.1307	-0.3354	2.4262	-0.0539	-0.0539	-0.2872	-0.1046	0.079	0
25	0.0101	0.0605	0.9059999999999999	0.0112	0.0112	-0.2936	0.1852	-0.33299999999999996	0
50	0.0265	0.1076	0.8962	0.0296	0.0296	-0.1839	0.2039	0.16899999999999998	0
44	-0.2674	-1.5182	1.64	-0.1631	-0.1631	-0.2326	-0.2925	-0.653	0
15	-0.0093	-0.0212	0.1733	-0.0539	-0.0539	0.2304	0.0856	0.099	0
34	-0.4904	0.3285	1.848	-0.2654	-0.2654	-1.8847	-0.6366	-3.9589999999999996	0
36	-0.4434	-4.2589	1.1062	-0.4008	-0.401	-0.4772	-0.3152	0.449	0
40	-0.132	-0.7261	0.9783	-0.1349	-0.1349	-0.1427	-0.3096	0.054000000000000006	0
41	-0.0089	-0.0191	1.0225	-0.0087	-0.0087	-0.1129	-0.4086	0.13699999999999998	0
1	0.0154	0.0338	0.5392	0.0285	0.0128	0.0246	0.1157	-0.066	0
42	-0.1083	-1.6352	0.6321	-0.1714	-0.1714	-0.1092	-0.0477	-0.204	0
51	-0.0058	-0.0202	0.5367	-0.0107	-0.0107	0.0785	0.2205	-1.7519999999999998	0
2	-0.2294	-0.4678	4.2599	-0.0539	-0.0539	0.2138	0.2282	-0.8170000000000001	0
8	0.0869	0.6509999999999999	1.5505	0.055999999999999994	0.055999999999999994	-0.076	-0.2098	-0.006999999999999999	0
0	-0.0019	-0.0116	1.3659	-0.0014	-0.0016	-0.0257	0.11	-0.11699999999999999	0
12	-0.1643	-3.4785	0.386	-0.1186	-0.1167	-0.2896	-0.1694	0.18100000000000002	0
35	-0.0319	-0.2092	0.5145	-0.0621	-0.0621	0.0797	0.1585	-0.023	0
18	-0.0434	-0.1759	0.8490000000000001	-0.0511	-0.0511	0.0785	0.0572	0.18600000000000005	0
49	-0.836	0.7340000000000001	1.0642	-0.7856	-0.7856	-1.4509999999999998	-0.7984	-0.866	0
38	0.1973	0.4086	1.4161	0.1393	0.0857	-0.0669	0.0821	0.156	0
31	0.0279	0.252	0.2559	0.1092	0.1092	0.0562	0.1247	-2.056	0
27	-0.091	-0.7737	2.2764	-0.04	-0.0396	-0.2168	-0.0224	0.111	0
10	-0.1161	0.2015	2.515	-0.0462	-0.0462	-1.0256	-0.6728	-0.266	0
