Overtime	Favorite_Points	Underdog_Points	Pointspread	Favorite_Name	Underdog_name	Year	Week	Weekday	target
0	27.0	24.0	4.0	1	14	89.0	1.0	0	1
0	17.0	14.0	3.0	2	3	89.0	1.0	0	0
0	51.0	0.0	2.5	4	22	89.0	1.0	0	1
0	28.0	0.0	5.5	17	5	89.0	1.0	0	0
0	38.0	7.0	5.5	15	9	89.0	1.0	0	0
0	34.0	20.0	6.0	6	11	89.0	1.0	0	0
0	31.0	21.0	6.0	13	0	89.0	1.0	0	1
0	24.0	27.0	2.5	19	16	89.0	1.0	0	0
0	16.0	13.0	1.5	21	7	89.0	1.0	0	1
0	40.0	14.0	3.5	12	23	89.0	1.0	0	0
0	30.0	24.0	3.0	25	10	89.0	1.0	0	1
0	31.0	7.0	5.5	20	24	89.0	1.0	0	0
0	21.0	23.0	3.0	8	26	89.0	1.0	0	0
0	24.0	27.0	4.0	27	18	89.0	1.0	0	0
0	27.0	21.0	1.5	0	5	89.0	2.0	0	0
0	24.0	14.0	11.0	18	7	89.0	2.0	0	0
0	34.0	27.0	4.0	9	23	89.0	2.0	0	1
0	31.0	17.0	6.0	13	10	89.0	2.0	0	0
0	24.0	19.0	2.0	11	12	89.0	2.0	0	0
0	10.0	24.0	6.0	16	14	89.0	2.0	0	0
0	38.0	7.0	0.0	2	15	89.0	2.0	0	0
0	34.0	35.0	4.5	17	8	89.0	2.0	0	1
0	38.0	24.0	7.0	4	19	89.0	2.0	0	0
0	37.0	42.0	3.0	27	20	89.0	2.0	0	0
0	24.0	34.0	7.0	24	21	89.0	2.0	0	0
0	41.0	10.0	10.0	3	22	89.0	2.0	0	0
0	20.0	16.0	7.5	25	26	89.0	2.0	0	1
0	14.0	28.0	6.5	1	6	89.0	2.0	0	0
0	13.0	9.0	7.5	10	0	89.0	3.0	0	0
1	41.0	47.0	3.5	9	1	89.0	3.0	0	0
0	47.0	27.0	7.0	2	7	89.0	3.0	0	1
0	41.0	38.0	10.0	13	8	89.0	3.0	0	0
0	21.0	6.0	2.5	23	11	89.0	3.0	0	0
0	31.0	21.0	6.5	6	12	89.0	3.0	0	0
0	14.0	27.0	8.5	15	22	89.0	3.0	0	1
0	10.0	20.0	2.5	17	26	89.0	3.0	0	1
0	33.0	40.0	4.0	14	19	89.0	3.0	0	0
0	35.0	7.0	7.5	18	21	89.0	3.0	0	0
0	28.0	38.0	1.5	20	25	89.0	3.0	0	0
0	3.0	24.0	3.5	16	24	89.0	3.0	0	0
0	30.0	7.0	4.5	27	5	89.0	3.0	0	1
0	21.0	14.0	4.0	3	4	89.0	3.0	0	0
0	23.0	21.0	7.0	8	0	89.0	4.0	0	0
0	21.0	17.0	5.0	3	11	89.0	4.0	0	1
0	16.0	13.0	5.5	4	6	89.0	4.0	0	0
0	10.0	17.0	3.0	19	10	89.0	4.0	0	0
0	12.0	13.0	5.0	25	13	89.0	4.0	0	0
0	39.0	7.0	7.0	9	14	89.0	4.0	0	0
0	31.0	10.0	7.0	1	16	89.0	4.0	0	0
0	30.0	13.0	7.0	18	5	89.0	4.0	0	1
0	3.0	23.0	2.5	7	22	89.0	4.0	0	0
0	13.0	24.0	4.0	21	23	89.0	4.0	0	0
0	20.0	24.0	1.0	12	24	89.0	4.0	0	0
0	17.0	3.0	8.0	15	26	89.0	4.0	0	0
0	16.0	14.0	1.5	27	17	89.0	4.0	0	1
0	27.0	13.0	3.5	2	20	89.0	4.0	0	0
0	26.0	14.0	10.5	13	0	89.0	5.0	0	0
0	14.0	37.0	0.0	1	10	89.0	5.0	0	1
0	35.0	42.0	4.5	2	26	89.0	5.0	0	1
0	26.0	16.0	4.0	3	22	89.0	5.0	0	1
0	10.0	13.0	3.5	4	14	89.0	5.0	0	1
0	31.0	13.0	7.0	8	5	89.0	5.0	0	0
0	24.0	17.0	12.0	15	7	89.0	5.0	0	0
0	13.0	23.0	4.0	9	16	89.0	5.0	0	1
0	16.0	20.0	7.0	24	11	89.0	5.0	0	0
0	24.0	20.0	4.0	25	17	89.0	5.0	0	1
0	21.0	19.0	3.0	20	18	89.0	5.0	0	0
0	30.0	28.0	9.5	27	21	89.0	5.0	0	0
0	16.0	10.0	7.0	6	23	89.0	5.0	0	0
0	7.0	14.0	3.0	19	12	89.0	5.0	0	0
0	16.0	17.0	6.0	26	7	89.0	6.0	0	0
0	26.0	14.0	6.5	15	8	89.0	6.0	0	0
0	28.0	33.0	7.0	2	9	89.0	6.0	0	0
0	14.0	3.0	5.0	6	10	89.0	6.0	0	0
0	20.0	14.0	3.0	12	11	89.0	6.0	0	0
0	13.0	20.0	7.5	3	14	89.0	6.0	0	0
